evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent)
1000.0,1000.0,42.199999999999996,-16.543066494070015,29.33985330073349
2000.0,2000.0,46.85,-8.177749373627417,35.73155985489723
3000.0,3000.0,48.13333333333333,-5.485851834409828,37.00404858299595
4000.0,4000.0,52.075,3.08338418464411,41.697080291970806
5000.0,5000.0,56.599999999999994,12.350826761934174,47.2147895889078
6000.0,6000.0,59.699999999999996,18.627248183079033,50.953346855983774
7000.0,7000.0,62.05714285714286,23.573447758307932,53.46881569726699
8000.0,8000.0,64.25,28.000707405637016,56.18872549019607
9000.0,9000.0,65.86666666666666,31.331454485629664,58.090040927694396
10000.0,10000.0,67.49000000000001,34.67506844549813,60.26643852358837
11000.0,11000.0,68.50909090909092,36.76129679836638,61.43397906924961
12000.0,12000.0,69.41666666666667,38.631772800442356,62.48977923139821
13000.0,13000.0,70.24615384615385,40.351071736460206,63.51631767591021
14000.0,14000.0,71.00714285714285,41.93053769873662,64.48818897637794
15000.0,15000.0,71.67999999999999,43.29593398208645,65.33942558746737
16000.0,16000.0,72.3875,44.71277076804762,66.16115196078432
17000.0,17000.0,73.10588235294118,46.18164132283869,67.06526437112808
18000.0,18000.0,73.78333333333333,47.53220893069478,67.9241435562806
19000.0,19000.0,74.36315789473684,48.691113060617326,68.64701338825952
20000.0,20000.0,74.75500000000001,49.46969298470004,68.81022979985175
21000.0,21000.0,75.23333333333333,50.42680127166208,69.25032517441171
22000.0,22000.0,75.6590909090909,51.27356289891901,69.83098591549296
23000.0,23000.0,76.01739130434783,51.99126291541286,70.29297716501507
24000.0,24000.0,76.31666666666666,52.592919785097635,70.67382107109688
25000.0,25000.0,76.616,53.19121929151818,71.05940594059406
26000.0,26000.0,76.93461538461538,53.82927588129637,71.47545662100457
27000.0,27000.0,77.12962962962962,54.2206247320029,71.67950834709227
28000.0,28000.0,77.41428571428571,54.78711790535177,72.0449120325347
29000.0,29000.0,77.62758620689655,55.214641931003186,72.3066416254055
30000.0,30000.0,77.88666666666667,55.7349071012886,72.67710049423395
31000.0,31000.0,78.00645161290322,55.97446494804371,72.81282398915384
32000.0,32000.0,78.16875,56.30155649394286,73.00826829456766
33000.0,33000.0,78.2939393939394,56.55621916251342,73.17127982321435
34000.0,34000.0,78.47058823529412,56.91593069677479,73.40696069170966
35000.0,35000.0,78.7,57.3769708991569,73.7037037037037
36000.0,36000.0,78.85555555555555,57.68847183171836,73.88858397365533
37000.0,37000.0,79.01621621621622,58.015354464827396,74.10187130991694
38000.0,38000.0,79.1921052631579,58.36655771613124,74.33458841859257
39000.0,39000.0,79.33333333333333,58.64884255066253,74.52189031136399
40000.0,40000.0,79.4825,58.947844098788096,74.72436094856792
41000.0,41000.0,79.60487804878049,59.19174356136504,74.87983657774573
42000.0,42000.0,79.67857142857143,59.33898480950207,74.96406676248864
43000.0,43000.0,79.76744186046511,59.51733872382459,75.07449002979601
44000.0,44000.0,79.9,59.78353584488937,75.25046174511671
45000.0,45000.0,80.04222222222222,60.06910309244737,75.43490153172867
46000.0,46000.0,80.16304347826086,60.31161727741888,75.60943012937025
47000.0,47000.0,80.28510638297873,60.556497497693954,75.75614861329147
48000.0,48000.0,80.41666666666667,60.82102902785764,75.93569197685731
49000.0,49000.0,80.5469387755102,61.08240423532442,76.10907814928066
50000.0,50000.0,80.634,61.25581634903238,76.21819432164261
51000.0,51000.0,80.73725490196078,61.463348665170955,76.35050553683197
52000.0,52000.0,80.81923076923077,61.6275492308641,76.44641760733009
53000.0,53000.0,80.90943396226416,61.80815827405027,76.55156431054462
54000.0,54000.0,81.02222222222221,62.03241642854881,76.6953199617956
55000.0,55000.0,81.12,62.22753606086775,76.83590613009727
56000.0,56000.0,81.19285714285715,62.373566562883376,76.91768212501097
57000.0,57000.0,81.26140350877193,62.51032495197134,77.00538213132401
58000.0,58000.0,81.32068965517242,62.629357605715406,77.07866119409302
59000.0,59000.0,81.40677966101694,62.801833340003824,77.18765596406588
60000.0,60000.0,81.48666666666666,62.963140172227725,77.29168370267396
61000.0,61000.0,81.56065573770492,63.11133767731103,77.38095238095238
62000.0,62000.0,81.63064516129033,63.251335526190985,77.4635903118569
63000.0,63000.0,81.73015873015873,63.45081710385146,77.59218159872289
64000.0,64000.0,81.7796875,63.54985781092108,77.65663920291243
65000.0,65000.0,81.8323076923077,63.655627098613685,77.71718620273228
66000.0,66000.0,81.89393939393939,63.779328015190806,77.79140648230747
67000.0,67000.0,81.96567164179105,63.92329321933155,77.87806664225559
68000.0,68000.0,82.02058823529413,64.03331946210822,77.94733044733046
69000.0,69000.0,82.05797101449276,64.10994081306485,77.9817166435457
70000.0,70000.0,82.12142857142857,64.23729655336695,78.06156435157592
71000.0,71000.0,82.18028169014084,64.35581719577226,78.12699894542122
72000.0,72000.0,82.22638888888889,64.44716882487059,78.18296508456083
73000.0,73000.0,82.28219178082192,64.55914326286653,78.25414438952218
74000.0,74000.0,82.3554054054054,64.70547759964803,78.3516264880459
75000.0,75000.0,82.41199999999999,64.81876653352614,78.42492639842983
76000.0,76000.0,82.47368421052632,64.94272636703256,78.50711588730759
77000.0,77000.0,82.4935064935065,64.98190432585018,78.53024559615203
78000.0,78000.0,82.54102564102564,65.07643630316619,78.59276259942781
79000.0,79000.0,82.58227848101266,65.15946927318006,78.63752095882755
80000.0,80000.0,82.60125000000001,65.19761600744242,78.65445957551222
81000.0,81000.0,82.63703703703705,65.26861138406215,78.6909090909091
82000.0,82000.0,82.68536585365854,65.36539309480678,78.74614532499025
83000.0,83000.0,82.74819277108433,65.49124869237613,78.82744344225935
84000.0,84000.0,82.79880952380952,65.5925603347635,78.88992782631563
85000.0,85000.0,82.85764705882353,65.71019737630492,78.96431252526419
86000.0,86000.0,82.88720930232559,65.76954673548886,79.00151242758896
87000.0,87000.0,82.94022988505748,65.8760655054215,79.06451885914181
88000.0,88000.0,82.99772727272727,65.9913189071424,79.14238715253575
89000.0,89000.0,83.03932584269663,66.0749040865642,79.19251233699998
90000.0,90000.0,83.07777777777777,66.15169099800431,79.23993348054852
91000.0,91000.0,83.11428571428571,66.22469312114421,79.28384609162241
92000.0,92000.0,83.14891304347826,66.29415845812696,79.32437118241711
93000.0,93000.0,83.17311827956989,66.34255400103616,79.35270213215114
94000.0,94000.0,83.22127659574467,66.43911607992217,79.41368418304748
95000.0,95000.0,83.26210526315789,66.52097178923898,79.46137948850426
96000.0,96000.0,83.29062499999999,66.57804610535203,79.49874750779612
97000.0,97000.0,83.33917525773195,66.67526924051789,79.55701166291395
98000.0,98000.0,83.3969387755102,66.79085138291298,79.63579474342927
99000.0,99000.0,83.42222222222222,66.84145414649112,79.66244516592728
100000.0,100000.0,83.446,66.88915531488972,79.68884199160756
# COMPLETED
